id_cmonoc,lat,lon,id_met,province,city,lat_y,lon_y,distance
gzgy,26.472515500000004,106.6689304,57913.0,贵州,龙里,26.27,106.59,0.2174
qhmq,34.4783901,100.2490098,56043.0,青海,玛沁,34.29,100.14,0.2177
sxyc,37.6323732,112.89173559999999,53780.0,山西,寿阳,37.54,113.09,0.2187
ynhz,26.4082858,103.2916854,56684.0,云南,会泽,26.24,103.15,0.22
yncx,25.0495242,101.4928296,56766.0,云南,牟定,25.18,101.31,0.2246
xzge,32.5199068,80.10676590000001,55228.0,西藏,狮泉河,32.3,80.05,0.2271
gdsg,24.8461477,113.5877179,57989.0,广东,仁化,25.04,113.46,0.2321
lnjz,39.0918084,121.7401071,54569.0,辽宁,普兰店,39.25,121.57,0.2323
xnin,36.6006615,101.7743739,52863.0,青海,互助,36.49,101.57,0.2324
sdzb,36.8064046,117.99170819999999,54833.0,山东,桓台,36.58,118.05,0.2338
tjbh,39.0837397,117.68915729999999,54529.0,天津,宁河,39.21,117.49,0.2358
gxhc,24.6949729,108.039083,59031.0,广西,环江,24.49,108.16,0.238
nmwj,41.2993441,108.0731303,53336.0,内蒙古,乌拉特中旗,41.34,108.31,0.2403
scgz,31.6103297,100.01883259999998,56146.0,四川,甘孜,31.37,100.0,0.2411
ynmz,23.355965899999998,103.4038311,56982.0,云南,开远,23.42,103.17,0.2424
qhge,36.1452834,94.7716742,52818.0,青海,格尔木,36.25,94.55,0.2452
gdzh,22.2753044,113.56688729999999,59488.0,广东,珠海,22.17,113.34,0.2501
scpz,26.5031815,101.74391729999999,56665.0,四川,盐边,26.41,101.51,0.2518
xzrk,29.248680199999995,88.86504670000001,55572.0,西藏,南木林,29.41,89.06,0.253
gsmq,38.632397,103.0880387,52681.0,甘肃,民勤,38.38,103.05,0.2552
gslx,34.9949652,104.64638570000001,56092.0,甘肃,陇西,35.0,104.39,0.2564
xjwl,42.9228554,86.71924320000001,51468.0,新疆,天山大西沟,43.06,86.5,0.2586
hnly,28.1561864,113.63072939999999,57688.0,湖南,浏阳,28.09,113.38,0.2593
sdyt,37.4825962,121.4355568,54765.0,山东,烟台,37.29,121.26,0.2606
xjtz,38.968658000000005,83.6593355,51747.0,新疆,塔中,39.0,83.4,0.2612
scgu,32.424828600000005,105.8997105,57211.0,陕西,宁强,32.5,106.15,0.2613
qhql,38.185834299999996,100.2375379,52656.0,甘肃,民乐,38.26,100.49,0.2631
yngm,23.5460351,99.3923906,56946.0,云南,耿马,23.33,99.24,0.2644
scyy,27.4319474,101.5125677,56565.0,四川,盐源,27.26,101.31,0.2657
scnn,27.056987899999996,102.71644090000001,56578.0,四川,宁南,27.04,102.45,0.267
xzgz,32.2921981,84.07107959999999,55248.0,西藏,改则,32.09,84.25,0.27
scmb,28.8404239,103.53355529999999,56490.0,四川,沐川,28.57,103.54,0.2705
ynyl,25.8846996,99.37162059999999,56649.0,云南,洱源,26.06,99.58,0.2723
gxbh,21.652541,109.21241359999999,59640.0,广西,合浦,21.4,109.11,0.2725
ahbb,32.904599100000006,117.2962554,58129.0,安徽,五河,33.09,117.5,0.2755
sxkl,38.802899200000006,111.603572,53663.0,山西,五寨,38.55,111.49,0.2772
ynsd,24.712828100000003,99.190223,56843.0,云南,昌宁,24.5,99.37,0.2786
scnc,30.9792782,105.8822135,57314.0,四川,南部,31.21,106.04,0.2795
suiy,44.433343900000004,130.9080733,54096.0,黑龙江,绥芬河,44.23,131.1,0.2796
xzar,29.2685168,87.1838189,55569.0,西藏,拉孜,29.05,87.36,0.2807
snya,36.6239137,109.45735330000001,53841.0,陕西,安塞,36.53,109.19,0.2834
gspl,35.5477544,106.5863223,53915.0,甘肃,崆峒,35.33,106.4,0.2866
qion,19.0294447,109.84500890000001,59854.0,海南,屯昌,19.22,110.06,0.2873
bjyq,40.3703736,115.967845,54499.0,北京,昌平,40.13,116.13,0.29
luzh,28.872424100000003,105.41360790000002,57508.0,四川,泸县,29.09,105.22,0.2912
sxgx,36.252142,111.8999896,53877.0,山西,安泽,36.1,112.15,0.2927
urum,43.8080131,87.6006745,51377.0,新疆,阜康,44.1,87.55,0.2964
uru2,43.8080131,87.6006747,51377.0,新疆,阜康,44.1,87.55,0.2964
cqcs,29.905225599999998,107.2322612,57425.0,重庆,垫江,30.2,107.2,0.2965
nxzw,37.586082,105.2436623,53704.0,宁夏,中卫,37.32,105.11,0.2978
xjke,41.7920206,86.1895097,51567.0,新疆,焉耆,42.05,86.34,0.2987
scgy,32.4389045,105.852296,57211.0,陕西,宁强,32.5,106.15,0.3039
jlyj,42.87479129999999,129.5045074,54293.0,吉林,图们,42.57,129.5,0.3048
hets,39.735803000000004,118.2953567,54439.0,河北,迁安,40.01,118.43,0.3055
sclh,31.3877632,100.6719603,56158.0,四川,炉霍,31.24,100.4,0.3095
kmin,25.0295134,102.7978122,56785.0,云南,嵩明,25.21,103.05,0.3101
gsdx,35.5543125,104.6046123,52995.0,甘肃,安定,35.35,104.37,0.3111
chan,43.790685700000004,125.4442023,54069.0,吉林,九台,44.1,125.48,0.3114
chun,43.7903439,125.4441253,54069.0,吉林,九台,44.1,125.48,0.3117
sdcy,36.753640600000004,119.45971000000002,54841.0,山东,昌邑,36.52,119.25,0.314
hrbn,45.7026119,126.6203703,50953.0,黑龙江,哈尔滨,45.56,126.34,0.3146
hecx,38.4648185,116.93090759999998,54622.0,天津,津南区,38.59,117.22,0.315
ynya,25.7234801,101.3273598,56669.0,云南,永仁,26.03,101.4,0.315
xiaa,34.1782353,108.98562849999999,57042.0,陕西,富平,34.47,109.11,0.3172
