id_igra,wmo,lat,lon,alt,state,name,start,end,total
USM00072297,72297,33.82,-118.15,20.0,CA,LONG BEACH,1943,1956,7017
USM00072303,72303,35.167,-79.033,61.0,NC,POPE AFB,1919,1990,8526
USM00072304,72304,35.2667,-75.55,7.6,NC,CAPE HATTERAS WB BLDG,1941,1994,42554
USM00072305,72305,34.7761,-76.8767,11.0,NC,NEWPORT,1994,2020,19180
USM00072306,72306,35.867,-78.783,134.0,NC,RALEIGH/RALEIGH-DUR,1941,1974,9591
USM00072308,72308,36.8833,-76.2,9.0,VA,NORFOLK/MUNI (VA),1940,1965,27148
USM00072311,72311,33.95,-83.3167,244.8,GA,ATHENS BEN EPPS AP,1955,1994,28581
USM00072317,72317,36.0981,-79.9428,276.5,NC,GREENSBORO/G.-HIGH PT.,1928,2020,74527
USM00072318,72318,37.2039,-80.4142,639.4,VA,BLACKSBURG,1995,2020,18057
USM00072326,72326,35.817,-83.983,299.0,TN,KNOXVILLE MUNICIPAL,1927,1973,16989
USM00072327,72327,36.2469,-86.5617,180.2,TN,NASHVILLE/OLD HICKORY,1937,2020,67341
USM00072340,72340,34.835,-92.2594,173.2,AR,LITTLE ROCK/ADAMS FLD,1947,2020,53022
USM00072344,72344,35.3333,-94.3667,141.1,AR,FT SMITH CAMP CHAFFEE,1953,1964,5244
USM00072349,72349,36.8833,-93.9,438.9,MO,MONETT,1970,1995,18071
USM00072351,72351,33.98,-98.5,309.0,TX,WICHITA FALLS,1950,1950,113
USM00072352,72352,34.65,-99.2667,420.0,OK,ALTUS AFB (OKLA),1954,1961,2675
USM00072353,72353,35.383,-97.6,398.0,OK,OKLAHOMA CITY/W. RO,1926,1989,55703
USM00072355,72355,34.65,-98.4,360.0,OK,FORT SILL,1918,2008,16423
USM00072356,72356,36.2,-95.883,195.0,OK,TULSA INTL ARPT(AW),1931,1975,8677
USM00072357,72357,35.1808,-97.4378,344.9,OK,NORMAN/MAX WESTHEIMER A,1974,2020,24005
